station,lat,lon,hp,country,hvyrain
SURAT THANI AGROMET,913,9963,36.8,Thailand,68.7
LAO CAI,2250,10396,97,Viet Nam,52
KATUNAYAKE,716,7988,8,Sri Lanka,50.9
NAKHONSI THAMMARAT,853,9993,5.53,Thailand,133.8
NAKHONSI THAMMARAT AGROMET,835,10005,3.02,Thailand,80.1
QUY NHON,1376,10921,6,Viet Nam,258.5
KARAIKAL,1091,7983,6.35,India,76
H-5 'SAFAWI',3215,3715,674,Jordan,219.9
48802,2235,10381,,,51
HAAST AWS,-4385,16900,5.4,New Zealand,50.2
MT COOK AERO AWS,-4375,17011,655.9,New Zealand,57.2
PHNOM-PENH (KHMOUGH),1160,10486,10,Cambodia,69
CHUMPHON,1048,9918,5.95,Thailand,76.2
NAGAPPATTINAM,1076,7985,3.1,India,99
SANTA ROSA,-1416,29310,0,"Bolivia, Plurinational State of",86.3
HAAST AWS,-4385,16900,5.4,New Zealand,50.2
KARAIKAL,1091,7983,6.35,India,86
48863,1513,10878,,,61
MILFORD AERO AWS,-4466,16791,3.37,New Zealand,71
MT COOK AERO AWS,-4375,17011,655.9,New Zealand,57
NAGAPPATTINAM,1076,7985,3.1,India,107.6
INHAMBANE,-2386,3538,15,Mozambique,52
CHUMPHON,1048,9918,5.95,Thailand,54.1
SCHERGER RAAF,-1261,14208,40.1,Australia,65
ATIRAMAPATTINAM,1033,7938,4.47,India,79
SURAT THANI AGROMET,913,9963,36.8,Thailand,123.7
SECRETARY ISLAND AWS,-4521,16688,18.9,New Zealand,72.4
NAKHONSI THAMMARAT AGROMET,835,10005,3.02,Thailand,105.8
MOCUBA,-1683,3698,0,Mozambique,74
INHAMBANE AEROPORTO,-2386,3541,9,Mozambique,53
NAKHONSI THAMMARAT,853,9993,5.53,Thailand,207.6
QUY NHON,1376,10921,6,Viet Nam,164
INHAMBANE,-2386,3538,15,Mozambique,69
COEN AIRPORT,-1375,14311,160.1,Australia,58.8
TETE CHINGODZE,-1611,3365,129,Mozambique,72
CAPO MELE,4395,816,221,Italy,142.5
NAGAPPATTINAM,1076,7985,3.1,India,106
HANIMAADHOO,673,7316,2.4,Maldives,66.5
MIA PADANG,-78,10028,3,Indonesia,54
KARAIKAL,1091,7983,6.35,India,86
HAAST AWS,-4385,16900,5.4,New Zealand,50.2
JABIRU AIRPORT,-1265,13288,28,Australia,57.6
MILFORD AERO AWS,-4466,16791,3.37,New Zealand,71.2
48863,1513,10878,,,56
NAKHONSI THAMMARAT,853,9993,5.53,Thailand,120.1
NAKHONSI THAMMARAT AGROMET,835,10005,3.02,Thailand,60.1
MILINGIMBI AWS,-1208,13488,16.5,Australia,65.4
PIRLANGIMPI,-1140,13041,19.3,Australia,50
QUY NHON,1376,10921,6,Viet Nam,107
KOMPONG THOM,1268,10490,13,Cambodia,77.8
MELVILLE HALL AIRPORT,1553,29870,16,Dominica,53.9
SURAT THANI AGROMET,913,9963,36.8,Thailand,91.6
NGUKURR AIRPORT,-1471,13473,16.01,Australia,53.2
ATIRAMAPATTINAM,1033,7938,4.47,India,77
SIBOLGA/PINANGSORI,155,9888,3,Indonesia,109.3
BANDARAWELA,683,8098,1225,Sri Lanka,51.9
SECRETARY ISLAND AWS,-4521,16688,18.9,New Zealand,76.6
48846,1835,10590,,,90
NAKHONSI THAMMARAT,853,9993,5.53,Thailand,96.8
MOCUBA,-1683,3698,0,Mozambique,74
USHUAIA AERO,-5483,29170,57,Argentina,964
LIBREVILLE,45,941,15,Gabon,79.9
QUY NHON,1376,10921,6,Viet Nam,87
PHATTHALUNG AGROMET,756,10015,4.15,Thailand,50.1
SURAT THANI AGROMET,913,9963,36.8,Thailand,76.3
48846,1835,10590,,,100
LONDRINA,-2338,30882,566,Brazil,64.9
SECRETARY ISLAND AWS,-4521,16688,18.9,New Zealand,54
NAGAPPATTINAM,1076,7985,3.1,India,117
TETE CHINGODZE,-1611,3365,129,Mozambique,61
INHAMBANE,-2386,3538,15,Mozambique,53
PANDA,-2405,3471,0,Mozambique,68
FERRARA,4480,1160,9,Italy,989
NUEVA LOJA AEROPUERTO,8,28314,299,Ecuador,124.9
HANIMAADHOO,673,7316,2.4,Maldives,67.5
KARAIKAL,1091,7983,6.35,India,92
"INGONISH BEACH CS, NS",4665,29960,11,Canada,65
PORT-GENTIL,-70,875,4,Gabon,58.9
MONTE CIMONE,4418,1070,2173,Italy,989.8
